name,year,poverty-rate,median-household-income,rent-burden,pct-white,households-threatened,eviction-filing-rate,total-crime
Montgomery County,2007,3.4,92213,29.9,53.33,22218.22,43.13,26730
Montgomery County,2008,3.4,92213,29.9,53.33,22244.19,42.06,28053
Montgomery County,2009,3.4,92213,29.9,53.33,21949.78,42.19,26234
Montgomery County,2010,4.38,96985,30.8,49.27,23044.06,43.57,22643
Montgomery County,2011,4.56,99435,30.6,46.58,22752.5,41.42,20216
Montgomery County,2012,4.56,99435,30.6,46.58,22634.72,39.59,19268
Montgomery County,2013,4.56,99435,30.6,46.58,22400.13,38.61,18038
Montgomery County,2014,4.56,99435,30.6,46.58,21242.19,35.52,18475
Montgomery County,2015,4.56,99435,30.6,46.58,20919.22,35.57,18566
Montgomery County,2016,4.64,106287,30.4,44.46,21223.53,35.23,17443
Montgomery County,2017,4.64,106287,30.4,44.46,22301.01,36.75,17822
Montgomery County,2018,4.64,106287,30.4,44.46,22307.38,35.18,16125
Wicomico County,2000,12.83,39035,26.8,71.54,4381.52,79.65,4455
Wicomico County,2001,12.83,39035,26.8,71.54,4209.13,76.58,4932
Wicomico County,2002,12.83,39035,26.8,71.54,4182.89,70.69,4400
Wicomico County,2003,12.83,39035,26.8,71.54,4486.28,75.24,4232
Wicomico County,2004,12.83,39035,26.8,71.54,4520.06,66.76,4606
Wicomico County,2005,7.28,51352,29.6,69.88,5013.65,71.22,5054
Wicomico County,2006,7.28,51352,29.6,69.88,5195.07,73.45,5345
Wicomico County,2007,7.28,51352,29.6,69.88,5343.34,78.47,4817
Wicomico County,2008,7.28,51352,29.6,69.88,5473.09,78.37,5001
Wicomico County,2009,7.28,51352,29.6,69.88,5483.0,79.26,5196
Wicomico County,2010,10.39,50639,34.4,66.61,5753.25,76.34,4597
Wicomico County,2011,11.15,52278,33.0,64.98,5521.96,71.86,3968
Wicomico County,2012,11.15,52278,33.0,64.98,5658.81,72.61,3916
Wicomico County,2013,11.15,52278,33.0,64.98,5664.14,72.48,3872
Wicomico County,2014,11.15,52278,33.0,64.98,5748.34,74.44,3884
Wicomico County,2015,11.15,52278,33.0,64.98,5627.65,73.98,3795
Wicomico County,2016,9.31,56608,32.0,63.4,5694.62,74.56,3503
Wicomico County,2017,9.31,56608,32.0,63.4,5785.23,74.25,3525
Wicomico County,2018,9.31,56608,32.0,63.4,6106.72,78.19,3174
Somerset County,2000,20.14,29903,28.1,55.82,735.27,39.05,754
Somerset County,2001,20.14,29903,28.1,55.82,690.12,35.97,663
Somerset County,2002,20.14,29903,28.1,55.82,707.67,35.66,767
Somerset County,2003,20.14,29903,28.1,55.82,997.88,53.05,851
Somerset County,2004,20.14,29903,28.1,55.82,1021.59,50.54,808
Somerset County,2005,13.62,41615,30.7,54.42,1082.31,53.25,873
Somerset County,2006,13.62,41615,30.7,54.42,1104.66,53.67,1011
Somerset County,2007,13.62,41615,30.7,54.42,1093.4,53.29,859
Somerset County,2008,13.62,41615,30.7,54.42,1162.95,56.14,798
Somerset County,2009,13.62,41615,30.7,54.42,887.71,39.68,801
Somerset County,2010,14.35,41558,42.9,52.12,947.61,40.96,655
Somerset County,2011,20.34,35154,40.3,51.69,909.32,36.63,662
Somerset County,2012,20.34,35154,40.3,51.69,861.45,33.73,569
Somerset County,2013,20.34,35154,40.3,51.69,930.05,36.63,585
Somerset County,2014,20.34,35154,40.3,51.69,910.39,35.55,535
Somerset County,2015,20.34,35154,40.3,51.69,1021.01,41.01,448
Somerset County,2016,15.92,42165,39.8,51.49,1146.51,49.64,607
Somerset County,2017,15.92,42165,39.8,51.49,1247.72,54.23,508
Somerset County,2018,15.92,42165,39.8,51.49,1049.31,42.5,432
Worcester County,2000,9.57,40650,24.8,80.43,674.87,17.48,2718
Worcester County,2001,9.57,40650,24.8,80.43,665.49,17.32,2542
Worcester County,2002,9.57,40650,24.8,80.43,683.11,17.41,2699
Worcester County,2003,9.57,40650,24.8,80.43,664.24,16.53,2683
Worcester County,2004,9.57,40650,24.8,80.43,749.38,18.15,2539
Worcester County,2005,7.39,52600,29.7,80.96,755.42,17.9,2532
Worcester County,2006,7.39,52600,29.7,80.96,682.93,15.8,2672
Worcester County,2007,7.39,52600,29.7,80.96,677.89,15.73,2567
Worcester County,2008,7.39,52600,29.7,80.96,616.71,13.9,2642
Worcester County,2009,7.39,52600,29.7,80.96,569.51,12.67,2570
Worcester County,2010,6.53,58138,32.4,80.33,618.36,13.8,2617
Worcester County,2011,7.65,56773,31.5,79.97,564.93,12.23,2564
Worcester County,2012,7.65,56773,31.5,79.97,533.64,11.31,2402
Worcester County,2013,7.65,56773,31.5,79.97,580.34,12.36,2333
Worcester County,2014,7.65,56773,31.5,79.97,777.98,17.29,2427
Worcester County,2015,7.65,56773,31.5,79.97,484.02,10.03,2008
Worcester County,2016,6.41,61145,30.7,80.08,727.82,15.95,1987
Worcester County,2017,6.41,61145,30.7,80.08,679.52,14.51,1950
Worcester County,2018,6.41,61145,30.7,80.08,775.47,16.69,1551
